model_id,name_en,name_ko,model,required_fields,priority,source_ids,coverage_en,coverage_ko
M01,Meissner screening,마이스너 차폐,London / GL,penetration_depth_tensor;sample_dimensions;field_history;Bc1;cooling_protocol,P0,PYTDGL,No lambda/geometry-calibrated samples included,침투 깊이·형상으로 보정된 시료 미포함
M02,Order parameter and vortices,질서변수·보텍스,GL / TDGL,Tc;coherence_length_tensor;penetration_depth_tensor;TDGL_relaxation;pinning_potential;normal_resistivity_tensor,P1,PYTDGL,TDGL parameter dataset still missing,TDGL 파라미터 데이터셋 미확보
M03,Trapped flux and levitation,포획 자속·자기부상,Maxwell + E-J + mechanics,critical_current_density;n_exponent;magnet_field_map;sample_motion_history;cooling_protocol;force_displacement_curve,P0,LEVITATION,No raw force/hysteresis benchmark included,원시 힘·히스테리시스 기준 데이터 미포함
M04,Critical current and self field,임계전류·자체 자기장,H or T-A formulation,Ic;critical_current_density;field_angle;electric_field_criterion;composite_layer_stack,P0,HTS-MODELING,HTS exports and license unresolved,HTS 내보내기·라이선스 미해결
M05,AC loss and creep,교류 손실·크리프,Maxwell + nonlinear transport,EJ_curve;n_exponent;frequency;field_history;AC_loss_cycle,P1,OPEN-IC,No measured loss curves included,측정 손실 곡선 미포함
M06,Electrothermal quench,전기·열 결합 퀜치,E-J + heat equation + circuit,specific_heat;thermal_conductivity_tensor;normal_resistivity_tensor;joint_resistance;heat_transfer_coefficient;normal_zone_velocity,P0,HISCALE,23 support fits included; active-layer and coolant data missing,"보조재 23개 피팅 포함, 활성층·냉매 데이터 미확보"
M07,Strain and mechanical degradation,변형률·기계적 열화,elasticity + calibrated Ic(strain),strain_tensor;young_modulus;thermal_expansion_tensor;critical_current_density;degradation_state,P1,HISCALE,Support elastic/expansion fits only,지지재 탄성·열팽창 피팅만 포함
M08,Conventional pairing and gap,전통적 결합·에너지 갭,DFPT + EPW / Eliashberg,electronic_bands;phonon_frequencies;electron_phonon_matrix;eliashberg_a2F;mu_star;gap_delta;k_mesh;q_mesh,P2,EPW,53 candidate predictions; full arrays not acquired,후보 예측 53개. 전체 배열은 미확보
M09,Chemistry and annealing,화학·열처리,diffusion/reaction + phase stability,precursors;oxygen_partial_pressure;oxygen_content_delta;annealing_profile;diffusion_tensor;reaction_rate_constants,P2,YBCO-CHAINS,No fitted kinetic constants included,보정된 반응속도 상수 미포함
M10,High pressure phases,고압 상,pressure-dependent structure + EPC,structure_pressure;phase_id;dynamic_stability;gap_delta;mu_star,P2,JARVIS-HP,Two comparison rows quarantined,비교표 두 행 격리
M11,Josephson circuits,조셉슨 회로,junction-specific effective model,Josephson_Ic;Josephson_capacitance;joint_resistance;gap_delta;field_history,P2,PYTDGL,Separate optional scope; no junction data included,별도 선택 범위. 접합 데이터 미포함
M12,Tc discovery surrogate,Tc 탐색 대리모델,composition/structure regression,composition_normalized;structure_id;Tc;source_id;sample_id,P2,UCI-SC,Source metadata only; full UCI not acquired,"출처 메타데이터만 포함, UCI 전체 미확보"
